u1_add,u1_del,u2_add,u2_del,u3_add,u3_del,u4_add,u4_del,u1_speak,u2_speak,u3_speak,u4_speak,gini_group_speak,gini_group_add,gini_group_del,sum_group_speak,sum_group_add,sum_group_del,u1_turns,u2_turns,u3_turns,u4_turns,group,dataset,pca_1,pca_2,pca_3,pca_4,entropy_group_speak,entropy_group_add,entropy_group_del
50,13,0,1,0,0,0,0,1.4,1.4,9.2,3.6,0.47522521666260875,0.0,0.0,15.6,50.0,14.0,10.0,1.0,1.0,2.0,1,1,0.05595224252631237,2.8242025601964524,-1.0830841162941203,4.776691611880472,1.5617423609982655,0.0,0.3712323266408756
34,1,0,0,0,0,0,0,0.2,6.4,1.8,5.6000000000000005,0.47522521666260875,0.0,0.0,14.0,34.0,1.0,6.0,3.0,0.0,8.0,1,1,-0.712239669254217,0.9658605956763943,-1.9669553956808608,1.1552732397367815,1.5130649765079134,0.0,0.0
2,0,0,0,0,0,8,3,3.8,2.4000000000000004,6.0,0.8,0.47522521666260875,0.0,0.0,13.0,10.0,3.0,3.0,4.0,1.0,8.0,1,1,-0.6491153563100066,0.3545819162265881,-1.6666994886084772,-0.8645497042753828,1.7310310340694153,0.7219280948873623,0.0
0,0,2,0,0,0,85,0,6.6000000000000005,4.6000000000000005,3.0,0.6000000000000001,0.47522521666260875,0.0,0.0,14.8,87.0,0.0,5.0,3.0,0.0,6.0,1,1,-0.7713395484943805,2.2056245289843126,-2.2095690660862792,-2.357572309567987,1.697761779623119,0.15790637433488164,0.0
0,0,0,0,0,0,48,0,0.0,1.8,4.800000000000002,6.2,0.47522521666260875,0.0,0.0,12.8,48.0,0.0,7.0,1.0,0.0,6.0,1,1,-0.7164955472368947,0.9309965454479591,-2.4148962393433875,-1.4955740362346939,1.4351795210580987,0.0,0.0
0,0,0,0,1,0,31,4,5.6000000000000005,3.8,0.0,4.2,0.47522521666260875,0.0,0.0,13.600000000000001,32.0,4.0,7.0,3.0,0.0,5.0,1,1,-0.7147274162299957,1.2488227812492676,-1.6400676778206993,-1.6624241963739506,1.5645918640239422,0.2006223243127146,0.0
0,0,2,0,63,3,7,8,1.4,7.6,1.4,0.0,0.47522521666260875,0.0,0.0,10.4,72.0,11.0,4.0,2.0,0.0,2.0,1,1,2.049096417267188,2.772373586631484,0.2517088334380324,-2.4048893831643245,1.1095894408398863,0.6390900065131738,0.8453509366224365
6,0,80,5,42,1,2,2,1.2000000000000002,7.800000000000002,4.4,0.6000000000000001,0.47522521666260875,0.0,0.0,14.000000000000002,130.0,8.0,8.0,1.0,0.0,3.0,1,1,0.30219933889952577,5.497541616698343,-0.848301351641509,-0.7395494912320918,1.4935280933429862,1.255126625705194,1.2987949406953987
105,8,60,0,0,0,0,0,7.2,1.2000000000000002,4.4,4.6000000000000005,0.47522521666260875,0.0,0.0,17.4,165.0,8.0,10.0,5.0,0.0,6.0,1,1,-0.4981643988566463,6.259153500663214,-2.222889341349255,5.390367014286112,1.8018343503822682,0.9456603046006401,0.0
20,2,0,0,0,0,0,0,1.0,7.0,2.0,5.0,0.47522521666260875,0.0,0.0,15.0,20.0,2.0,2.0,7.0,0.0,4.0,1,1,-0.5108473483869399,0.4213450114904261,-0.9118987981982183,0.94135800375586,1.6894822670191822,0.0,0.0
0,0,0,0,0,0,0,0,6.2,2.2,1.0,3.2,0.47522521666260875,0.0,0.0,12.600000000000001,0.0,0.0,4.0,2.0,1.0,5.0,1,1,-0.566184288266611,-0.49507282425702986,-1.7569878206496035,-0.3105367714291668,1.7353200203024528,0.0,0.0
0,0,0,0,0,0,0,0,8.4,11.2,2.2,0.8,0.47522521666260875,0.0,0.0,22.6,0.0,0.0,12.0,2.0,0.0,7.0,1,1,-3.017255372931948,0.3578193146851368,-0.8888405454216417,0.18237144192528612,1.5304182969555062,0.0,0.0
38,2,0,0,0,0,0,0,1.0,2.4000000000000004,6.800000000000002,2.8000000000000003,0.47522521666260875,0.0,0.0,13.000000000000002,38.0,2.0,3.0,1.0,4.0,3.0,1,1,0.5647709603724754,0.5005813758055165,-1.766642559328421,1.9181582288216705,1.7007386438837055,0.0,0.0
