u1_add,u1_del,u2_add,u2_del,u3_add,u3_del,u4_add,u4_del,u1_speak,u2_speak,u3_speak,u4_speak,u1_turns,u2_turns,u3_turns,u4_turns
0,0,0,0,0,0,0,0,9.0,1.4,1.0,4.4,9,2,0,4
0,0,0,0,0,0,0,0,11.4,3.8,1.4,1.4,8,4,1,0
0,0,0,0,0,0,0,0,10.8,3.8,1.6,1.2000000000000002,10,4,2,1
0,0,0,0,1,0,0,0,10.2,2.0,1.0,3.2,15,3,0,4
0,0,0,0,45,4,0,0,7.6,3.4000000000000004,1.4,2.8000000000000003,7,4,1,3
0,0,0,0,30,8,0,0,11.4,1.6,0.6000000000000001,2.0,9,2,0,2
4,4,0,0,1,0,0,0,4.800000000000002,4.4,1.0,1.4,3,5,0,1
0,0,0,0,0,0,0,0,5.2,5.0,2.2,2.0,4,6,4,0
0,0,0,0,0,0,0,0,11.0,1.6,1.4,2.0,10,2,1,2
0,0,0,0,0,0,0,0,9.0,0.2,0.8,1.8,4,0,1,2
0,0,0,0,0,0,0,0,8.4,2.6,1.8,1.0,8,2,2,1
0,0,0,0,0,0,0,0,7.4,2.4000000000000004,0.2,1.6,6,3,0,1
0,0,0,0,0,0,0,0,5.800000000000002,1.8,0.0,3.8,5,4,0,5
0,0,0,0,0,0,0,0,7.2,1.2000000000000002,0.8,1.6,6,2,0,1
0,0,0,0,0,0,0,0,4.2,0.8,1.0,3.0,4,1,1,4
0,0,0,0,0,0,0,0,1.4,0.2,0.0,1.6,2,0,0,2
0,0,0,0,0,0,0,0,6.2,6.800000000000002,2.2,4.800000000000002,10,5,2,7
0,0,0,0,0,0,0,0,7.800000000000002,10.4,3.2,3.8,12,9,3,3
0,0,0,0,0,0,0,0,7.0,12.2,2.4000000000000004,5.0,10,10,1,7
0,0,0,0,0,0,0,0,4.4,13.8,1.6,6.0,7,12,0,4
0,0,0,0,0,0,0,0,10.8,8.4,2.8000000000000003,1.4,13,9,2,1
0,0,0,0,0,0,0,0,5.4,9.2,1.8,5.2,7,7,1,6
0,0,0,0,0,0,0,0,7.2,9.6,2.6,3.0,8,14,3,3
0,0,0,0,0,0,0,0,6.4,7.4,3.6,5.2,8,9,4,5
0,0,0,0,0,0,0,0,3.8,10.6,1.8,6.6000000000000005,3,11,1,10
0,0,0,0,0,0,0,0,13.0,3.2,2.6,6.4,10,3,5,7
43,3,28,28,2,2,0,0,9.4,5.800000000000002,2.4000000000000004,6.6000000000000005,8,9,3,6
0,14,3,8,15,16,8,1,11.6,2.4000000000000004,1.0,10.4,8,1,0,11
25,5,0,0,0,0,0,7,11.4,2.8000000000000003,2.8000000000000003,8.8,16,2,2,8
