,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
17,0,0,0,0,0,0,48,0,6.2,1.8,0.0,4.800000000000002,7,1,0,6,30,0,0,0,0
18,0,0,0,0,1,0,31,4,3.8,4.2,0.0,5.6000000000000005,7,3,0,5,16,1,0,0,0
19,0,0,2,0,63,3,7,8,7.6,1.4,0.0,1.4,4,2,0,2,28,1,1,0,0
20,6,0,80,5,42,1,2,2,7.8000000000000025,1.2000000000000002,0.6000000000000001,4.4,8,1,0,3,58,1,0,2,0
21,105,8,60,0,0,0,0,0,7.2,4.6000000000000005,1.2000000000000002,4.4,10,5,0,6,28,0,0,0,1
22,20,2,0,0,0,0,0,0,2.0,5.0,1.0,7.0,2,7,0,4,19,0,1,1,0
23,0,0,0,0,0,0,0,0,3.2,2.2,1.0,6.2,4,2,1,5,46,0,0,1,0
24,0,0,0,0,0,0,0,0,11.2,2.2,0.8,8.4,12,2,0,7,21,0,1,0,0
25,38,2,0,0,0,0,0,0,6.8000000000000025,1.0,2.8000000000000003,2.4000000000000004,3,1,4,3,45,0,2,0,1
26,0,1,0,0,0,0,0,0,5.0,3.4000000000000004,0.8,5.0,6,4,0,6,20,0,1,0,0
27,26,0,2,0,0,0,24,0,5.0,1.6,0.8,7.6,8,2,1,9,37,0,0,3,0
28,1,0,0,0,0,0,189,0,5.2,3.6,0.2,3.8,6,6,0,7,26,1,0,2,0
29,31,0,106,0,0,0,0,0,5.6000000000000005,5.0,2.2,2.4000000000000004,6,7,2,2,4,0,0,0,0
30,46,11,0,0,0,0,0,0,8.6,2.2,2.4000000000000004,3.4000000000000004,9,2,2,3,48,1,3,2,0
31,0,0,0,0,0,0,0,0,15.8,1.4,0.8,2.8000000000000003,13,1,0,4,48,2,0,6,1
32,0,0,0,0,0,0,0,0,8.4,2.4000000000000004,0.0,4.4,8,2,0,4,19,0,1,0,0
33,49,3,0,0,0,0,0,0,8.0,2.0,1.6,4.0,10,1,2,6,18,1,0,0,0
34,0,0,133,39,0,0,58,4,8.8,2.0,0.6000000000000001,5.8000000000000025,8,3,0,9,1,0,0,0,0
35,0,0,37,0,0,0,72,3,8.0,4.6000000000000005,1.2000000000000002,5.4,8,5,2,8,49,1,2,0,0
36,0,0,0,0,0,0,2,0,11.0,4.6000000000000005,0.8,3.6,10,4,1,4,20,0,0,2,0
37,0,0,0,0,0,1,0,0,8.0,2.0,1.0,7.4,7,2,1,6,15,0,0,1,0
38,0,0,0,0,0,0,0,0,10.6,2.0,1.2000000000000002,2.2,11,2,1,0,37,0,0,0,2
39,0,0,0,0,0,0,0,0,6.2,1.2000000000000002,0.8,4.0,4,1,1,4,38,0,0,1,0
40,0,0,0,0,0,0,0,0,8.8,0.8,0.8,3.2,4,1,0,4,26,1,0,0,1
41,0,0,0,0,0,0,0,0,9.6,2.2,2.0,3.4000000000000004,9,1,2,4,18,0,0,0,1
42,0,0,0,0,0,0,0,0,10.4,2.0,1.0,1.8,7,3,2,0,37,1,1,0,1
43,0,0,0,0,0,0,0,0,12.2,1.8,1.4,1.2000000000000002,11,3,2,1,35,0,0,1,0
44,0,0,0,0,0,0,0,0,6.6000000000000005,2.6,0.8,2.2,9,2,1,3,54,0,3,1,0
45,0,0,0,0,0,0,0,0,9.4,1.6,0.4,2.4000000000000004,8,2,0,2,27,1,1,3,1
46,0,0,0,0,0,0,0,0,9.0,1.4,1.0,4.4,9,2,0,4,28,1,0,0,1
47,0,0,0,0,0,0,0,0,11.4,3.8,1.4,1.4,8,4,1,0,17,0,0,1,0
48,0,0,0,0,0,0,0,0,10.8,3.8,1.6,1.2000000000000002,10,4,2,1,30,0,0,0,0
